,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
87080,38.17,56.57,3120,1.86,mcelrath,148.0,0.7,0
61471,0.63,93.91,3793,2.32,hufford,148.0,1.56,0
39570,0.3,94.96,3667,1.47,epley,148.0,1.77,0
16688,2.26,93.55,3409,1.29,brickey,148.0,0.9400000000000000,0
145685,4.42,91.61,4183,1.82,wilkey,149.0,0.79,0
29529,0.35,94.56,13109,3.58,damico,150.0,0.58,0
29378,0.32,94.21,5559,3.74,dalessandro,151.0,0.72,0
51923,0.29,95.65,3153,1.74,greenawalt,151.0,0.73,0
125440,0.36,95.7,3841,1.02,smeltzer,152.0,1.17,0
112409,0.32,95.77,3472,1.18,ringler,152.0,1.18,0
123612,0.4,92.43,3514,3.98,sickler,152.0,1.23,0
125955,5.56,91.43,4027,1.56,soileau,152.0,0.75,0
92713,21.59,72.69,3219,2.36,morrissette,153.0,1.1800000000000000,0
34037,2.4,92.6,3878,1.91,dills,153.0,1.41,0
143293,2.4,92.78,4295,2.24,warnick,154.0,1.0900000000000000,0
95010,1.61,94.39,3420,2.13,naugle,155.0,0.6700000000000000,0
36654,17.77,77.54,3112,2.02,duggins,155.0,0.77,0
132020,4.29,89.41,3523,2.78,tadlock,156.0,1.65,0
135879,1.66,94.38,3008,1.7,toups,156.0,1.23,0
104507,0.73,94.73,3814,1.44,pifer,156.0,1.26,0
63926,0.0,95.51,3005,2.53,jantz,156.0,0.6,0
25990,19.12,77.65,7066,1.1,comeaux,156.0,0.65,0
122818,0.23,97.65,4886,0.84,shetler,158.0,0.49,0
76231,0.88,94.09,3656,2.46,lavalley,159.0,1.21,0
61359,11.36,84.24,3839,1.75,hudnall,160.0,0.8300000000000000,0
35647,15.75,79.19,4215,2.3,doster,161.0,0.71,0
144594,0.0,96.75,3204,1.84,wesolowski,161.0,0.44,0
9818,0.29,97.56,6549,1.19,beiler,162.0,0.28,0
27932,0.64,94.8,7363,2.54,crites,162.0,0.6800000000000000,0
123894,2.26,94.81,5760,1.04,sigmon,162.0,0.62,0
139565,4.86,89.93,3355,2.12,vanlandingham,162.0,1.49,0
126250,0.59,91.26,3375,2.99,songer,163.0,2.7,0
108460,0.21,97.04,7261,1.4,raber,163.0,0.48000000000000000,0
112557,0.31,94.74,3196,2.57,risinger,164.0,1.18,0
76348,18.43,76.56,5465,1.56,lawhorn,164.0,1.4,0
132852,0.45,93.43,5102,2.25,tatro,164.0,1.94,0
61777,0.38,95.88,3158,1.71,hunsinger,164.0,0.72,0
102413,0.21,94.28,4804,2.23,pedigo,164.0,1.1600000000000000,0
17645,1.26,92.2,3961,1.97,brunk,166.0,2.83,0
55953,25.4,69.58,4284,2.01,harvell,166.0,1.6400000000000000,0
87056,6.88,86.63,3853,2.28,mcelhaney,166.0,2.13,0
64534,0.5,95.56,3015,1.86,jeske,168.0,0.76,0
5093,0.19,95.01,3086,2.59,ashbaugh,168.0,0.75,0
148147,0.81,95.85,4550,1.45,yingling,168.0,1.08,0
127908,17.25,77.57,3750,2.43,stansberry,168.0,0.77,0
59842,0.97,95.24,3505,1.63,hohman,168.0,0.9100000000000000,0
98885,29.17,64.55,47979,2.48,oneal,168.0,1.18,0
145925,0.39,94.37,3571,2.91,wimer,168.0,0.84,0
35327,0.28,95.24,6004,2.91,donofrio,168.0,0.55,0
36829,4.44,89.12,3465,3.09,dunagan,168.0,1.7000000000000000,0
49275,8.6,87.32,3905,1.82,gilreath,168.0,0.72,0
37926,23.48,72.28,3914,1.23,eddins,169.0,0.5900000000000000,0
87320,1.31,93.5,3984,2.26,mcglothlin,171.0,1.2000000000000000,0
41544,0.3,94.22,3357,3.04,faught,172.0,0.98,0
143233,0.29,95.88,4442,1.85,wargo,172.0,0.9000000000000000,0
79547,4.12,90.98,6141,2.43,lockard,173.0,0.69,0
59584,0.0,94.47,3056,2.26,hoeft,173.0,1.18,0
107859,6.16,87.53,4091,2.81,pursley,174.0,1.07,0
92637,38.46,56.1,3640,2.69,morman,174.0,0.49,0
59614,0.21,93.39,3387,2.13,hoelscher,177.0,2.92,0
144951,5.71,89.32,3838,1.93,whisenant,177.0,1.0900000000000000,0
127266,6.01,89.87,3178,1.64,spotts,178.0,0.97,0
145770,3.2,89.51,3719,2.47,willhite,179.0,2.16,0
60784,25.49,69.72,3735,2.03,hosey,179.0,0.75,0
90742,0.27,96.73,4369,1.1,minnich,180.0,0.48,0
74799,10.11,86.4,4463,1.48,lambright,180.0,0.79,0
142335,0.32,95.06,5551,2.09,voyles,181.0,1.35,0
37208,0.61,94.57,3445,3.86,durso,181.0,0.0,0
126435,16.06,78.03,5921,2.3,sorrells,182.0,1.46,0
