,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
96070,16.6,76.72,1675,3.04,nicholes,21.0,1.38,0
14555,6.06,87.97,1006,3.18,booe,21.0,0.0,0
96549,0.0,96.54,1186,1.77,nisley,21.0,0.0,0
86138,22.56,72.09,1064,1.32,mayhue,21.0,0.0,0
149624,0.0,96.54,1302,1.23,zickefoose,21.0,0.46,0
145134,18.75,77.5,1120,0.63,whorley,21.0,0.0,0
91951,0.0,97.15,1300,0.77,mongold,21.0,0.0,0
142130,0.0,97.55,1102,1.27,vonderhaar,21.0,0.54,0
37026,0.0,96.56,1016,1.18,dupler,21.0,0.79,0
126728,0.0,96.04,1110,0.81,spainhour,21.0,0.81,0
34396,0.0,94.98,1276,2.9,dirienzo,21.0,0.71,0
35680,14.55,79.72,1381,2.24,dotts,21.0,0.0,0
108576,0.34,96.59,2344,1.37,radabaugh,22.0,0.73,0
147026,0.0,93.68,1091,2.11,woolum,22.0,1.56,0
122021,0.0,89.72,1089,3.86,shadden,22.0,1.74,0
147799,1.39,94.17,1938,1.39,yarger,22.0,1.45,0
122889,1.25,90.48,1281,5.15,shiffer,22.0,1.56,0
58635,1.38,94.0,1450,1.86,hickle,22.0,0.0,0
105084,0.0,94.66,1124,1.42,pittsley,22.0,1.25,0
141274,1.71,86.89,1289,5.59,vigue,22.0,3.96,0
9529,25.56,69.99,1506,1.53,bedgood,22.0,1.2,0
50053,0.0,95.92,1422,2.67,gochenour,22.0,0.56,0
60019,0.0,96.33,1036,1.54,hollabaugh,22.0,0.58,0
11265,0.82,90.82,1940,2.27,besaw,22.0,2.99,0
129585,0.34,94.18,2680,2.5,stpeter,22.0,2.09,0
123329,1.9,94.8,1365,1.1,shreves,23.0,0.0,0
137452,0.44,94.86,1148,2.35,turnbaugh,23.0,0.0,0
74216,10.42,81.43,1190,2.35,lacount,23.0,2.52,0
34606,0.62,97.15,1121,0.98,dively,23.0,0.0,0
10518,1.78,93.41,1746,2.06,benningfield,23.0,0.8600000000000000,0
106547,0.0,94.72,1118,2.33,pottorff,23.0,1.16,0
34415,0.0,93.48,1120,4.46,dirocco,23.0,1.07,0
88240,0.0,97.05,1323,1.36,meckley,23.0,0.0,0
147955,0.92,95.45,1408,1.35,yeatts,23.0,1.35,0
59953,0.0,94.16,1182,1.27,holderfield,23.0,2.37,0
86724,6.94,88.21,1009,1.78,mccoin,23.0,0.0,0
144914,4.3,90.61,1256,1.91,whetsel,23.0,0.0,0
70552,0.0,95.72,1075,1.77,koelling,23.0,1.3,0
29502,0.0,93.82,1133,4.59,dambra,23.0,0.62,0
30601,1.27,94.59,1736,1.32,deboard,23.0,0.92,0
120842,0.0,97.79,1088,1.47,sedlock,23.0,0.0,0
146905,0.0,94.75,1085,2.95,wooddell,23.0,0.55,0
35981,0.38,96.46,1838,1.31,drawdy,23.0,0.8200000000000000,0
139658,1.47,92.86,1023,2.44,vannote,23.0,0.0,0
122418,0.0,96.95,1114,1.53,shatzer,23.0,0.63,0
61079,8.21,86.58,2303,1.61,howington,23.0,1.47,0
71932,0.0,97.39,1073,0.84,kowaleski,24.0,0.56,0
54518,9.55,84.7,1026,0.68,haithcock,24.0,1.37,0
44656,0.0,97.06,1292,1.08,frankenfield,24.0,0.62,0
79118,0.0,91.73,2044,2.2,lirette,24.0,3.77,0
53323,5.71,90.15,1909,2.2,guilliams,24.0,0.8900000000000000,0
61473,0.0,97.75,2359,0.42,huffstetler,24.0,0.47,0
133482,0.0,97.36,1175,1.02,terhaar,24.0,0.0,0
19319,1.48,93.83,1150,2.09,buzard,24.0,0.86,0
87215,37.54,55.66,1308,2.45,mcgaughy,24.0,0.0,0
43387,0.0,97.1,1207,0.83,flaugher,24.0,0.91,0
103804,3.0,90.74,1101,2.63,peugh,24.0,1.54,0
103240,13.2,81.73,1795,2.73,permenter,24.0,1.0,0
95398,0.0,94.24,1336,2.69,neidig,24.0,1.35,0
51117,1.09,94.7,1565,1.92,gosser,24.0,0.0,0
27663,0.0,94.78,1072,3.26,crecelius,24.0,0.56,0
139349,2.36,92.2,1269,2.92,vandorn,24.0,0.0,0
51832,3.25,93.44,1815,1.32,gravley,24.0,0.78,0
45588,0.39,95.59,1292,1.63,fugitt,24.0,0.93,0
130277,0.0,94.96,1130,3.45,stumbaugh,25.0,0.0,0
17166,0.47,96.35,1068,1.69,brookover,25.0,0.0,0
79546,10.13,81.55,1214,3.46,lockamy,25.0,0.0,0
62097,31.18,64.72,1267,1.42,hyche,25.0,0.0,0
25187,0.0,97.03,1348,0.89,cloer,25.0,0.45,0
121904,0.92,94.9,1530,2.29,severt,25.0,0.0,0
76903,0.0,92.01,1202,4.33,leffew,25.0,0.67,0
