,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,Other
138375,0.0,0.0,128,100.0,urrieta,7.0,0.0,0
11109,0.0,33.81,139,63.31,berron,7.0,0.0,0
8421,0.0,23.53,136,73.53,bartolomey,7.0,0.0,0
88994,0.0,6.63,181,93.37,mendietta,7.0,0.0,0
140646,0.81,7.24,1603,90.83,venzor,7.0,0.81,0
131995,0.0,1.92,885,97.06,tacuri,7.0,0.56,0
20358,0.0,2.76,254,96.85,cancinos,7.0,0.0,0
7586,0.0,15.79,133,81.2,banuet,7.0,0.0,0
18747,0.0,6.78,782,93.09,burgueno,7.0,0.0,0
8729,0.0,20.95,148,79.05,batarse,7.0,0.0,0
19558,0.0,5.4,352,90.91,cabrerra,7.0,3.41,0
19493,0.0,4.1,293,94.88,cabarcas,7.0,0.0,0
141116,0.0,1.61,684,98.25,vidals,7.0,0.0,0
78728,0.0,6.87,233,92.27,linarte,7.0,0.0,0
141310,0.0,11.61,112,87.5,vilche,7.0,0.0,0
90618,0.0,22.86,140,73.57,mindiola,7.0,0.0,0
84012,0.0,5.74,122,91.8,manueles,7.0,0.0,0
22047,0.0,15.27,131,77.1,catillo,7.0,4.58,0
135199,0.0,14.95,455,84.18,tolento,7.0,0.0,0
21886,2.75,15.93,182,76.92,castill,7.0,0.0,0
134990,0.0,0.0,189,98.41,tlapanco,7.0,0.0,0
21894,4.65,3.49,172,83.14,castillio,7.0,5.23,0
135183,0.0,8.89,135,87.41,tolano,7.0,0.0,0
20860,0.0,1.23,407,98.53,caracheo,7.0,0.0,0
20846,0.0,5.82,275,66.91,carabeo,7.0,25.45,0
60166,0.0,12.19,443,80.59,holquin,7.0,4.06,0
7007,0.0,6.85,467,89.29,baldazo,7.0,2.57,0
20894,0.0,7.12,604,91.89,caratachea,7.0,0.0,0
85424,0.0,6.84,263,93.16,mastache,7.0,0.0,0
132226,0.0,8.48,165,87.27,talancon,7.0,0.0,0
140475,0.0,45.65,184,53.8,veloza,7.0,0.0,0
140395,0.98,2.93,818,95.35,velaquez,7.0,0.61,0
139929,0.0,3.57,701,95.29,vaquerano,7.0,0.0,0
85018,6.43,12.14,140,81.43,martinmartin,7.0,0.0,0
79430,0.0,6.83,161,92.55,llontop,7.0,0.0,0
30409,0.0,24.74,392,73.21,deaguero,7.0,1.79,0
30419,0.19,9.54,2662,89.33,dealba,7.0,0.68,0
98549,0.0,6.9,145,91.72,oleas,7.0,0.0,0
30586,0.0,5.19,135,94.81,deblas,7.0,0.0,0
116485,0.0,8.72,218,85.32,salizar,7.0,0.0,0
