,PCTBLACK,PCTWHITE,COUNT,PCTHISPANIC,surname,frequency,PCTASIAN,other
11350,59.01,37.24,1947,0.82,bester,1650.0,0.8200000000000000,0
41353,53.83,40.52,1735,2.54,farquharson,1654.0,0.0,0
144946,54.12,35.05,194,3.09,whirl,1656.0,0.0,0
81623,53.47,39.7,16062,3.0,lyles,1665.0,0.69,0
190,90.3,5.22,134,0.0,abdoulaye,1674.0,0.0,0
33469,93.13,2.5,640,2.03,diarra,1678.0,0.0,0
122142,50.69,16.26,1513,2.78,shakir,1681.0,25.97,0
40914,75.17,18.93,8320,1.96,faison,1682.0,0.6,0
137656,64.89,29.61,1091,1.83,twine,1700.0,0.0,1
65407,91.05,3.06,816,2.94,juste,1701.0,0.0,0
4360,93.02,0.0,215,0.0,ards,1709.0,0.0,0
332,63.91,22.49,338,8.28,abdu,1711.0,2.37,0
99790,65.87,10.1,208,18.75,oti,1717.0,3.37,0
28591,84.36,4.21,1758,7.91,cumberbatch,1717.0,0.0,0
89521,94.11,1.43,1188,2.19,metellus,1726.0,0.0,0
16876,51.55,42.04,3123,2.37,brisco,1727.0,0.0,0
116324,61.4,32.51,886,2.93,salami,1733.0,1.02,1
20259,94.07,0.0,236,0.0,camphor,1735.0,0.0,0
112212,50.45,27.34,662,14.2,rigaud,1747.0,1.06,0
111763,79.25,2.21,588,13.61,rias,1751.0,1.7,0
947,94.28,1.34,821,0.97,adu,1766.0,0.0,0
143151,75.0,6.25,160,14.38,wanton,1770.0,0.0,0
40611,95.76,2.12,754,0.0,eze,1777.0,0.0,0
108824,79.85,14.31,2551,2.35,ragin,1780.0,0.0,0
126857,52.27,42.3,8199,1.79,spearman,1782.0,0.78,0
34801,55.85,39.46,299,1.67,docteur,1782.0,0.0,0
85394,94.07,0.0,253,3.16,massillon,1786.0,0.0,0
40943,95.08,0.0,122,0.0,falaise,1793.0,0.0,0
40357,86.95,7.34,613,3.59,eustache,1795.0,0.0,0
39849,60.64,32.31,1532,2.55,erving,1807.0,0.9200000000000000,0
39124,54.12,35.05,194,7.73,embers,1813.0,0.0,0
142955,74.29,23.57,140,0.0,wallop,1814.0,0.0,0
142734,80.11,4.55,176,0.0,wako,1815.0,14.2,0
14095,69.83,26.29,232,0.0,bolder,1821.0,0.0,0
63491,51.16,41.24,1421,3.52,jacquet,1823.0,1.12,0
47453,79.89,14.5,2944,2.28,gatling,1827.0,0.0,0
27180,92.88,3.38,1096,0.46,coulibaly,1829.0,0.0,0
28224,78.84,13.6,860,2.44,crumble,1837.0,0.0,0
54503,80.85,12.18,16090,2.06,hairston,1841.0,0.53,0
55466,63.74,30.54,5163,1.76,hardaway,1850.0,0.95,0
66025,92.09,2.24,670,0.0,kalu,1861.0,4.03,0
1384,50.76,9.79,725,0.0,aina,1864.0,19.59,0
116308,51.2,4.59,916,3.28,salahuddin,1874.0,37.23,0
140833,69.62,24.3,609,3.28,vernet,1876.0,0.0,0
104631,51.77,44.25,226,0.0,pillows,1877.0,0.0,0
79728,56.47,36.83,13900,2.26,lofton,1887.0,1.61,0
14849,66.67,25.13,195,4.62,borno,1888.0,0.0,0
32138,60.15,34.32,271,3.32,demosthenes,1890.0,0.0,0
64394,82.9,10.75,614,2.77,jenifer,1891.0,0.0,0
34314,93.94,3.39,709,0.99,diouf,1891.0,0.0,0
84178,68.52,26.68,2316,2.03,marbury,1893.0,0.0,0
147450,83.91,6.53,1684,5.46,wynter,1895.0,0.0,0
57951,91.19,3.14,159,3.14,hercule,1897.0,0.0,0
99872,86.89,0.0,122,0.0,otu,1898.0,4.92,0
82549,89.87,0.0,158,5.06,magny,1899.0,0.0,0
25317,59.65,31.0,1616,1.67,coachman,1901.0,4.640000000000000,0
143798,51.04,42.83,3070,3.42,weekes,1902.0,0.49,0
99526,96.63,1.61,1868,0.59,osei,1910.0,0.0,0
124789,65.3,22.11,389,2.57,skeeter,1913.0,5.15,0
25485,83.13,9.12,581,3.96,codrington,1914.0,2.07,0
117892,81.82,12.5,264,0.0,sauveur,1918.0,4.92,0
93040,82.15,12.8,4391,2.1,moultrie,1919.0,0.47000000000000000,0
952,83.9,11.18,671,1.34,adem,1927.0,2.09,0
108297,66.44,27.32,593,2.02,quince,1934.0,0.0,0
137668,51.17,43.43,2947,1.87,twitty,1934.0,0.85,0
134636,53.07,40.27,3211,2.77,tillis,1935.0,0.88,0
125974,70.25,14.88,121,5.79,soko,1943.0,7.44,0
54636,67.31,25.37,1092,2.47,haliburton,1948.0,0.0,0
108867,60.22,12.62,729,0.0,raheem,1963.0,20.03,0
95236,64.16,21.97,173,9.83,nebo,1963.0,3.47,0
79558,74.88,20.29,207,0.0,locket,1963.0,0.0,0
75607,60.1,20.69,203,12.81,larks,1969.0,0.0,0
50386,54.23,35.28,343,3.5,goldsboro,1974.0,2.92,0
86862,67.43,26.51,28024,1.96,mccray,1990.0,1.2,0
141291,82.29,5.83,463,7.78,vil,1995.0,1.3,0
13295,58.28,33.43,338,5.62,blot,2012.0,0.0,0
92386,77.45,11.37,2120,6.89,morant,2024.0,0.6600000000000000,0
18824,52.65,42.18,735,1.63,burl,2032.0,1.77,0
139363,90.71,0.0,183,4.92,vandross,2035.0,0.0,0
